,公告内容
18,中华人民共和国龙眼港边防检查站电脑采购项目询价文件成交公告2018年01月02日08:59来源：【打印】公告概要：公告信息：采购项目名称中华人民共和国龙眼港边防检查站电脑采购项目询价文件品目货物/通用设备/计算机设备及软件/计算机设备/小型计算机采购单位龙眼港边防检查站行政区域荣成市公告时间2018年01月02日08:59本项目招标公告日期成交日期2017年12月29日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单、总成交金额￥3.08万元（人民币）联系人及联系方式：项目联系人石吉虎项目联系电话0631-7590233采购单位龙眼港边防检查站采购单位地址0631-7590233采购单位联系方式石吉虎代理机构名称中华人民共和国龙眼港边防检查站代理机构地址0631-7590233代理机构联系方式石吉虎附件：附件1龙眼港边检（电脑采购询价公告).docx　　中华人民共和国龙眼港边防检查站受龙眼港边防检查站的委托，就中华人民共和国龙眼港边防检查站电脑采购项目询价文件项目（项目编号：LYGSLB2017-007）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：LYGSLB2017-007项目名称：中华人民共和国龙眼港边防检查站电脑采购项目询价文件项目联系人：石吉虎联系方式：0631-7590233 二、采购单位信息采购单位名称：龙眼港边防检查站采购单位地址：0631-7590233采购单位联系方式：石吉虎 三、采购代理机构信息采购代理机构全称：中华人民共和国龙眼港边防检查站采购代理机构地址：0631-7590233采购代理机构联系方式：石吉虎 四、成交信息招标文件编号：LYGSLB2017-007本项目招标公告日期：成交日期：2017年12月29日总成交金额：3.08万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)1荣成市永鑫电脑销售有限公司null3.080000谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：、 五、项目用途、简要技术要求及合同履行日期：、 六、成交标的名称、规格型号、数量、单价、服务要求：、 七、其它补充事宜
19,"北京市海淀科技中心利用可见光技术实现科技馆室内定位及自动导览服务的研究项目成交公告2018年01月03日11:02来源：【打印】公告概要：公告信息：采购项目名称利用可见光技术实现科技馆室内定位及自动导览服务的研究项目品目货物/通用设备/计算机设备及软件/计算机软件/应用软件/行业应用软件采购单位北京市海淀科技中心行政区域海淀区公告时间2018年01月03日11:02本项目招标公告日期2017年12月12日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单周纪、陈小洁、薛瑞卿总成交金额￥84万元（人民币）联系人及联系方式：项目联系人李衡晨、吴众为项目联系电话010-52837446、010-57456265采购单位北京市海淀科技中心采购单位地址北京市海淀区北四环中路281号采购单位联系方式金老师010-62314003代理机构名称北京宏信天诚国际招标有限公司代理机构地址北京市海淀区复兴路乙12号中国铝业大厦620室代理机构联系方式李衡晨、吴众为010-52837446、010-57456265附件：附件1IF1449-单一-9-评标结果公告.doc附件2IF1449利用可见光技术实现科技馆室内定位及自动导览服务的研究项目2.doc　　北京宏信天诚国际招标有限公司受北京市海淀科技中心的委托，就利用可见光技术实现科技馆室内定位及自动导览服务的研究项目项目（项目编号：1711-HXTC-IF1449）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：1711-HXTC-IF1449项目名称：利用可见光技术实现科技馆室内定位及自动导览服务的研究项目项目联系人：李衡晨、吴众为联系方式：010-52837446、010-57456265 二、采购单位信息采购单位名称：北京市海淀科技中心采购单位地址：北京市海淀区北四环中路281号采购单位联系方式：金老师010-62314003 三、采购代理机构信息采购代理机构全称：北京宏信天诚国际招标有限公司采购代理机构地址：北京市海淀区复兴路乙12号中国铝业大厦620室采购代理机构联系方式：李衡晨、吴众为010-52837446、010-57456265 四、成交信息招标文件编号：1711-HXTC-IF1449本项目招标公告日期：2017年12月12日成交日期：2018年01月03日总成交金额：84.0万元（人民币）成交供应商名称、地址及成交金额：成交人：北京全电智领科技有限公司成交金额：￥840,000.00供应商地址：北京市海淀区海淀大街1号9层谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：周纪、陈小洁、薛瑞卿 五、项目用途、简要技术要求及合同履行日期：详见附件 六、成交标的名称、规格型号、数量、单价、服务要求：详见附件 七、其它补充事宜详见附件"
20,"北京市海淀科技中心利用可见光技术实现科技馆室内定位及自动导览服务的研究项目成交公告2018年01月03日11:20来源：【打印】公告概要：公告信息：采购项目名称利用可见光技术实现科技馆室内定位及自动导览服务的研究项目品目货物/通用设备/计算机设备及软件/计算机软件/应用软件/行业应用软件采购单位北京市海淀科技中心行政区域海淀区公告时间2018年01月03日11:20本项目招标公告日期2017年12月12日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单周纪、陈小洁、薛瑞卿总成交金额￥84万元（人民币）联系人及联系方式：项目联系人李衡晨、吴众为项目联系电话010-52837446、010-57456265采购单位北京市海淀科技中心采购单位地址北京市海淀区北四环中路281号采购单位联系方式金老师010-62314003代理机构名称北京宏信天诚国际招标有限公司代理机构地址北京市海淀区复兴路乙12号中国铝业大厦620室代理机构联系方式李衡晨、吴众为电话：010-52837446、010-57456265附件：附件1IF1449-单一-9-评标结果公告.doc附件2IF1449利用可见光技术实现科技馆室内定位及自动导览服务的研究项目2.doc　　北京宏信天诚国际招标有限公司受北京市海淀科技中心的委托，就利用可见光技术实现科技馆室内定位及自动导览服务的研究项目项目（项目编号：1711-HXTC-IF1449）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：1711-HXTC-IF1449项目名称：利用可见光技术实现科技馆室内定位及自动导览服务的研究项目项目联系人：李衡晨、吴众为联系方式：010-52837446、010-57456265 二、采购单位信息采购单位名称：北京市海淀科技中心采购单位地址：北京市海淀区北四环中路281号采购单位联系方式：金老师010-62314003 三、采购代理机构信息采购代理机构全称：北京宏信天诚国际招标有限公司采购代理机构地址：北京市海淀区复兴路乙12号中国铝业大厦620室采购代理机构联系方式：李衡晨、吴众为电话：010-52837446、010-57456265 四、成交信息招标文件编号：1711-HXTC-IF1449本项目招标公告日期：2017年12月12日成交日期：2018年01月03日总成交金额：84.0万元（人民币）成交供应商名称、地址及成交金额：成交人：北京全电智领科技有限公司成交金额：￥840,000.00供应商地址：北京市海淀区海淀大街1号9层谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：周纪、陈小洁、薛瑞卿 五、项目用途、简要技术要求及合同履行日期：详见附件 六、成交标的名称、规格型号、数量、单价、服务要求：详见附件 七、其它补充事宜详见附件"
21,"福州市公安局禁毒支队禁毒支队视频研判调度系统采购项目成交公告2018年01月03日10:45来源：【打印】公告概要：公告信息：采购项目名称禁毒支队视频研判调度系统采购项目品目服务/信息技术服务/信息系统集成实施服务/其他系统集成实施服务,货物/通用设备/广播、电视、电影设备/视频设备/其他视频设备采购单位福州市公安局禁毒支队行政区域福建省公告时间2018年01月03日10:45本项目招标公告日期2017年12月22日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单罗林，林雪华,陈明总成交金额￥14万元（人民币）联系人及联系方式：项目联系人福建省翔晖招标有限公司项目联系电话0591-87385992采购单位福州市公安局禁毒支队采购单位地址福州市鼓楼区采购单位联系方式董警官，13959138116代理机构名称福建省翔晖招标有限公司代理机构地址福州市鼓楼区乌山西路318号鼓楼科技大厦9层代理机构联系方式林晶晶，0591-87385992　　福建省翔晖招标有限公司受福州市公安局禁毒支队的委托，就禁毒支队视频研判调度系统采购项目项目（项目编号：[350100]XH[TP]2017012-1）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：[350100]XH[TP]2017012-1项目名称：禁毒支队视频研判调度系统采购项目项目联系人：福建省翔晖招标有限公司联系方式：0591-87385992 二、采购单位信息采购单位名称：福州市公安局禁毒支队采购单位地址：福州市鼓楼区采购单位联系方式：董警官，13959138116 三、采购代理机构信息采购代理机构全称：福建省翔晖招标有限公司采购代理机构地址：福州市鼓楼区乌山西路318号鼓楼科技大厦9层采购代理机构联系方式：林晶晶，0591-87385992 四、成交信息招标文件编号：[350100]XH[TP]2017012-1本项目招标公告日期：2017年12月22日成交日期：2018年01月03日总成交金额：14.0万元（人民币）成交供应商名称、地址及成交金额：合同包品目号品目名称品牌规格型号数量单价总价11-1视频会议会议室终端详见谈判响应文件报价书详见谈判响应文件报价书1140000元140000元服务要求或标的的基本概况详见投标文件中标供应商名称福建音桥电子科技有限公司中标供应商地址福建省福州市五一中路132号抽纱大厦二层中标金额140000.00元谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：罗林，林雪华,陈明 五、项目用途、简要技术要求及合同履行日期：详见响应文件。 六、成交标的名称、规格型号、数量、单价、服务要求：详见其他补充事宜。 七、其它补充事宜1、*成交标的名称、规格型号、数量、单价、服务要求：合同包品目号品目名称品牌规格型号数量单价总价11-1视频会议会议室终端详见谈判响应文件报价书详见谈判响应文件报价书1140000元140000元服务要求或标的的基本概况详见投标文件中标供应商名称福建音桥电子科技有限公司中标供应商地址福建省福州市五一中路132号抽纱大厦二层中标金额140000.00元2、公告期限为本公告之日起1个工作日。"
22,"资源县市容管理局城管大队警用装备货物采购成交公告2018年01月03日17:22来源：【打印】公告概要：公告信息：采购项目名称城管大队警用装备货物采购品目货物/通用设备/计算机设备及软件/计算机设备/台式计算机,货物/通用设备/办公设备/照相机及器材/照相机/通用照相机,货物/通用设备/办公设备/照相机及器材/照相机/数字照相机,货物/纺织原料、毛皮、被服装具/被服装具/其他被服装具采购单位资源县市容管理局行政区域资源县公告时间2018年01月03日17:22本项目招标公告日期2017年12月22日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单蔡俊、谭少初、付泳菁总成交金额￥13.829万元（人民币）联系人及联系方式：项目联系人伍工项目联系电话0773-3638350采购单位资源县市容管理局采购单位地址桂林市资源县城南路采购单位联系方式龙工0773-4318597代理机构名称圣弘建设股份有限公司代理机构地址广西桂林市中山南路68号鑫桂佳苑北楼12楼代理机构联系方式伍工0773-3638350　　圣弘建设股份有限公司受资源县市容管理局的委托，就城管大队警用装备货物采购项目（项目编号：SHZB2017-GL-019C）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：SHZB2017-GL-019C项目名称：城管大队警用装备货物采购项目联系人：伍工联系方式：0773-3638350 二、采购单位信息采购单位名称：资源县市容管理局采购单位地址：桂林市资源县城南路采购单位联系方式：龙工0773-4318597 三、采购代理机构信息采购代理机构全称：圣弘建设股份有限公司采购代理机构地址：广西桂林市中山南路68号鑫桂佳苑北楼12楼采购代理机构联系方式：伍工0773-3638350 四、成交信息招标文件编号：SHZB2017-GL-019C本项目招标公告日期：2017年12月22日成交日期：2018年01月03日总成交金额：13.829万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)1桂林市益大茂贸易有限公司桂林市七星区漓江路3号三星大厦2-14-5号房13.829000 谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：蔡俊、谭少初、付泳菁 五、项目用途、简要技术要求及合同履行日期：详见其他补充事宜。  六、成交标的名称、规格型号、数量、单价、服务要求： 详见其他补充事宜。 七、其它补充事宜圣弘建设股份有限公司受资源县市容管理局的委托，于2017年12月22日就城管大队警用装备货物采购项目采用竞争性磋商方式进行采购，按规定程序进行了磋商，现将成交结果公告如下：采购项目名称及编号：城管大队警用装备货物采购项目（项目编号：SHZB2017-GL-019C）采购项目简要说明：序号产品名称数量单位1执法仪35台2执法相机11台3执法相机22台4防爆头盔40个5防刺服40套6电脑3台7打印机1件8反光背心60件9盾牌15个10警棍30套如需进一步了解详细内容，详见竞争性磋商文件。三、磋商公告媒体及日期：于2017年12月22日在http://www.ccgp.gov.cn（中国政府采购网）、http://www.gxzfcg.gov.cn（广西壮族自治区政府采购网）、http://zfcg.guilin.gov.cn（桂林市政府采购网）、http://ggzy.guilin.cn/gxglzbw/（桂林市公共交易资源中心网）发布竞争性磋商公告。四、评审信息：评审日期：2017年1月2日评审地点：桂林市公共资源交易中心评标室（临桂新区西城中路69号创业大厦西辅楼四楼）磋商小组成员名单：蔡俊、谭少初、付泳菁采购人代表：付泳菁五、成交信息：1、成交供应商名称：桂林市益大茂贸易有限公司2、成交供应商地址：桂林市七星区漓江路3号三星大厦2-14-5号房3、成交金额：壹拾叁万捌仟贰佰玖拾元整（￥138,290.00）4、成交标的名称、规格型号、数量（单位）、单价：序号产品名称品牌、规格型号数量单位单价质保期1执法仪DSJ-H435台1830免费送货上门，免费安装、调试、按厂家承诺实行“三包”，保修期壹年。2执法相机1佳能EOS80D1台60003执法相机2佳能EOS1200D2台23004防爆头盔御王FBK-YX01-L40个2605防刺服御王FCF-J-YX0140套5206电脑启天M415-D1293台59007打印机富士施乐CM118w1件26508反光背心FG-58C60件509盾牌御王FBp-TL-Yx0115个45010警棍TE-J02330套78 六、成交公告期限：自成交公告发布之日起 1个工作日。七、联系事项：采购代理机构：圣弘建设股份有限公司          采购人：资源县市容管理局地址：广西桂林市中山南路68号鑫桂佳苑       地址：桂林市资源县城南路北楼12楼联系人：伍工                               采购人联系人：龙工联系电话：0773-3638350                     联系电话：0773-4318597政府采购监督管理机构：资源县政府采购管理办公室；联系电话：0773-4315648。 竞标人认为成交结果使自己的权益受到损害的，可以自成交公告期限界满之日起七个工作日内首先以书面形式向圣弘建设股份有限公司提出质疑，逾期将不再受理。圣弘建设股份有限公司2017年1月3日"
23,贺州市公共资源交易中心贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购（HPC2017货字122号）成交结果公告成交公告2018年01月03日15:02来源：【打印】公告概要：公告信息：采购项目名称贺州市公共资源交易中心贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购（HPC2017货字122号）成交结果公告品目货物/通用设备/计算机设备及软件/计算机软件/基础软件/操作系统采购单位贺州市平桂区经济贸易局行政区域贺州市公告时间2018年01月03日15:02本项目招标公告日期2017年12月28日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单李列东、周声洁、傅晋宏总成交金额￥2.7万元（人民币）联系人及联系方式：项目联系人何嵩项目联系电话0774-5137827采购单位贺州市平桂区经济贸易局采购单位地址贺州市平桂大道1号发展大厦（A座）五楼采购单位联系方式李娟，0774-8836803代理机构名称贺州市公共资源交易中心代理机构地址贺州市鞍山西路83-1号（城投集团）五楼代理机构联系方式何嵩，0774-5137827附件：附件1贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购.doc　　贺州市公共资源交易中心受贺州市平桂区经济贸易局的委托，就贺州市公共资源交易中心贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购（HPC2017货字122号）成交结果公告项目（项目编号：HPC2017货字122号）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：HPC2017货字122号项目名称：贺州市公共资源交易中心贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购（HPC2017货字122号）成交结果公告项目联系人：何嵩联系方式：0774-5137827 二、采购单位信息采购单位名称：贺州市平桂区经济贸易局采购单位地址：贺州市平桂大道1号发展大厦（A座）五楼采购单位联系方式：李娟，0774-8836803 三、采购代理机构信息采购代理机构全称：贺州市公共资源交易中心采购代理机构地址：贺州市鞍山西路83-1号（城投集团）五楼采购代理机构联系方式：何嵩，0774-5137827 四、成交信息招标文件编号：HPC2017货字122号本项目招标公告日期：2017年12月28日成交日期：2018年01月03日总成交金额：2.7万元（人民币）成交供应商名称、地址及成交金额：1、成交供应商名称：广西贺州市天成数码科技有限公司2、成交供应商地址：贺州市平安西路221号3、成交金额：贰万柒仟元整（￥27000.00）4、主要成交标的的名称、规格型号、数量、单价、服务要求附件：主要成交标的名称、规格型号、数量、单价、服务要求主要成交标的名称规格型号数量单价操作系统微软WINDOWS7专业版10套1800.00办公软件金山WPSOFFICE2016专业版10套900.00谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：李列东、周声洁、傅晋宏 五、项目用途、简要技术要求及合同履行日期：贺州市公共资源交易中心受贺州市平桂区经济贸易局委托，根据《中华人民共和国政府采购法》等有关规定，于2018年1月3日就贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购采用询价方式进行采购，现就本次询价的成交结果公告如下：一、采购项目名称及编号：贺州市平桂区经济贸易局正版软件（操作系统、办公软件）采购（HPC2017货字122号）二、采购项目简要说明：数量及简要技术要求：正版软件（操作系统、办公软件）采购，其余详见询价文件。合同履行日期：自签订合同后5日内三、公告媒体及日期：中国政府采购网(http://www.ccgp.gov.cn)、广西壮族自治区政府采购网(http://www.gxcz.gov.cn)、贺州市公共资源交易中心网（http://www.hzzfcg.com/v.1/）2017年12月28日四、询价日期：2018年1月3日评审地点：贺州市公共资源交易中心五楼交易部询价小组成员名单：李列东、周声洁、傅晋宏五、成交信息：1、成交供应商名称：广西贺州市天成数码科技有限公司2、成交供应商地址：贺州市平安西路221号3、成交金额：贰万柒仟元整（￥27000.00）4、主要成交标的的名称、规格型号、数量、单价、服务要求附件：主要成交标的名称、规格型号、数量、单价、服务要求主要成交标的名称规格型号数量单价操作系统微软WINDOWS7专业版10套1800.00办公软件金山WPSOFFICE2016专业版10套900.00六、联系事项                                                          1、采购人名称：贺州市平桂区经济贸易局地址：贺州市平桂大道1号发展大厦（A座）五楼联系人及电话：李娟，0774-88368032、集中采购机构名称：贺州市公共资源交易中心地址：贺州市鞍山西路83-1号（城投集团）五楼联系人及电话：何嵩，0774-51378273、监督部门：平桂区政府采购管理办公室联系电话：0774-8832896七、成交结果公告期限：自成交结果公告发布之日起一个工作日。供应商认为成交结果使自己的权益受到损害的，可以在成交结果公告期限届满之日起七个工作日内以书面形式向采购人贺州市平桂区经济贸易局或受托代理机构贺州市公共资源交易中心提出质疑，逾期将不再受理。 贺州市公共资源交易中心2018年1月3日 六、成交标的名称、规格型号、数量、单价、服务要求：见公告 七、其它补充事宜无
24,"鹤岗市兴山区人民法院云存储硬件设备、执行点播服务器采购成交公告2018年01月03日12:28来源：【打印】公告概要：公告信息：采购项目名称云存储硬件设备、执行点播服务器采购品目服务/信息技术服务/数据处理服务/存储服务采购单位鹤岗市兴山区人民法院行政区域鹤岗市公告时间2018年01月03日12:28本项目招标公告日期2017年12月25日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单李秋、郭振、黄国斌总成交金额￥37.7万元（人民币）联系人及联系方式：项目联系人石女士项目联系电话15244774938采购单位鹤岗市兴山区人民法院采购单位地址公助街与兴山路交叉口西150米采购单位联系方式郭女士0468-3529015代理机构名称中经国际招标集团有限公司代理机构地址哈尔滨市南岗区汉广街41号金华大厦713室代理机构联系方式石女士15244774938附件：附件1成交结果公告--云存储.docx　　中经国际招标集团有限公司受鹤岗市兴山区人民法院的委托，就云存储硬件设备、执行点播服务器采购项目（项目编号：鹤财采计字17-364）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：鹤财采计字17-364项目名称：云存储硬件设备、执行点播服务器采购项目联系人：石女士联系方式：15244774938 二、采购单位信息采购单位名称：鹤岗市兴山区人民法院采购单位地址：公助街与兴山路交叉口西150米采购单位联系方式：郭女士0468-3529015 三、采购代理机构信息采购代理机构全称：中经国际招标集团有限公司采购代理机构地址：哈尔滨市南岗区汉广街41号金华大厦713室采购代理机构联系方式：石女士15244774938 四、成交信息招标文件编号：鹤财采计字17-364本项目招标公告日期：2017年12月25日成交日期：2018年01月03日总成交金额：37.7万元（人民币）成交供应商名称、地址及成交金额：供应商名称：黑龙江省鑫禹辉科技开发有限公司 地址：黑龙江省大庆市萨尔图区经五街12号鼎园家苑B3号楼10门 成交金额：叁拾柒万柒仟圆整（￥377,000.00元）谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：李秋、郭振、黄国斌 五、项目用途、简要技术要求及合同履行日期：供货地点：鹤岗市兴山区人民法院 供货日期：签订合同7日内供货完毕    其它详见投标文件  六、成交标的名称、规格型号、数量、单价、服务要求： 1、项目名称：云存储硬件设备、执行点播服务器采购 2、采购内容：云存储硬件设备、执行点播服务器 3、项目编号：鹤财采计字17-364 4、谈判公告日期：2017年12月25日 5、谈判会议日期：2018年01月03日 七、其它补充事宜       采购单位：鹤岗市兴山区人民法院 地址：公助街与兴山路交叉口西150米 联系人：郭女士 电   话：0468-3529015。        采购代理机构：中经国际招标集团有限公司 地址：哈尔滨市南岗区汉广街41号金华大厦713室 采购项目负责人:石经理 联系电话：15244774938"
25,鸡西市公安局公安视频共享平台与公安网安全边界防护系统采购项目成交公告2018年01月03日13:40来源：【打印】公告概要：公告信息：采购项目名称鸡西市公安局公安视频共享平台与公安网安全边界防护系统采购项目品目货物/通用设备/计算机设备及软件/计算机网络设备/其他网络设备采购单位鸡西市公安局行政区域市辖区公告时间2018年01月03日13:40本项目招标公告日期2017年12月13日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单罗忠石、包卫国、刘俣伯等总成交金额￥98.898万元（人民币）联系人及联系方式：项目联系人贺晓欧项目联系电话0467-6223737采购单位鸡西市公安局采购单位地址鸡西市公安局采购单位联系方式王静、0467-2738256代理机构名称中瑞博信（北京）招标有限公司代理机构地址鸡西市鸡冠区龙山国际3号楼代理机构联系方式贺晓欧、0467-6223737　　中瑞博信（北京）招标有限公司受鸡西市公安局的委托，就鸡西市公安局公安视频共享平台与公安网安全边界防护系统采购项目项目（项目编号：ZRBX-20171213-1872）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：ZRBX-20171213-1872项目名称：鸡西市公安局公安视频共享平台与公安网安全边界防护系统采购项目项目联系人：贺晓欧联系方式：0467-6223737 二、采购单位信息采购单位名称：鸡西市公安局采购单位地址：鸡西市公安局采购单位联系方式：王静、0467-2738256 三、采购代理机构信息采购代理机构全称：中瑞博信（北京）招标有限公司采购代理机构地址：鸡西市鸡冠区龙山国际3号楼采购代理机构联系方式：贺晓欧、0467-6223737 四、成交信息招标文件编号：ZRBX-20171213-1872本项目招标公告日期：2017年12月13日成交日期：2018年01月03日总成交金额：98.898万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)1哈尔滨扬佳科技发展有限公司哈尔滨市南岗区闽江路248号吉星小区三期工程11栋（金地大厦）3单元7层3号98.898000谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：罗忠石、包卫国、刘俣伯等 五、项目用途、简要技术要求及合同履行日期：详见招标文件 六、成交标的名称、规格型号、数量、单价、服务要求：名称：鸡西市公安局公安视频共享平台与公安网安全边界防护系统采购项目规格、型号、数量、单价：详见招标文件 七、其它补充事宜无
26,"福建省粮油质量监测所实验室系统管理平台及服务器构建项目成交公告2018年01月03日14:58来源：【打印】公告概要：公告信息：采购项目名称福建省粮油质量监测所实验室系统管理平台及服务器构建项目品目服务/信息技术服务/软件开发服务/支撑软件开发服务,服务/信息技术服务/软件开发服务/基础软件开发服务,货物/通用设备/计算机设备及软件/计算机软件/基础软件/其他基础软件采购单位福建省粮油质量监测所行政区域福建省公告时间2018年01月03日14:58本项目招标公告日期2017年12月20日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单方来志,江子霖，许世泉总成交金额￥23.88万元（人民币）联系人及联系方式：项目联系人林先生项目联系电话0591-87515651采购单位福建省粮油质量监测所采购单位地址福州市晋安区福飞北路390号采购单位联系方式郑静婧059183711827代理机构名称福建省天海招标有限公司代理机构地址福建省福州市鼓楼区湖东路99号标力大厦12层代理机构联系方式林先生0591-87515651　　福建省天海招标有限公司受福建省粮油质量监测所的委托，就福建省粮油质量监测所实验室系统管理平台及服务器构建项目项目（项目编号：[3500]FJTH[TP]2017211）组织采购，评标工作已经结束，成交结果如下： 一、项目信息项目编号：[3500]FJTH[TP]2017211项目名称：福建省粮油质量监测所实验室系统管理平台及服务器构建项目项目联系人：林先生联系方式：0591-87515651 二、采购单位信息采购单位名称：福建省粮油质量监测所采购单位地址：福州市晋安区福飞北路390号采购单位联系方式：郑静婧059183711827 三、采购代理机构信息采购代理机构全称：福建省天海招标有限公司采购代理机构地址：福建省福州市鼓楼区湖东路99号标力大厦12层采购代理机构联系方式：林先生0591-87515651 四、成交信息招标文件编号：[3500]FJTH[TP]2017211本项目招标公告日期：2017年12月20日成交日期：2018年01月03日总成交金额：23.88万元（人民币）成交供应商名称、地址及成交金额：序号成交供应商名称成交供应商联系地址成交金额(万元)1厦门华信融通网络科技有限公司厦门市湖里区火炬园新丰二路8号日华大厦2F-D单元23.880000谈判小组、询价小组、磋商小组成员名单及单一来源采购人员名单：方来志,江子霖，许世泉 五、项目用途、简要技术要求及合同履行日期：详见投标文件合同签订后90天内需完工。中标通知书发出后7天内签订合同 六、成交标的名称、规格型号、数量、单价、服务要求：实验室系统管理平台及服务器构建项目品牌：软件自研，服务器DELL，防火墙天融信数量：1项单价：238800元合同签订后90天内需完工。中标通知书发出后7天内签订合同  七、其它补充事宜/"
27,文山州统计局桌面云一体机服务器等设备采购项目询价采购成交公告2018年01月03日10:08来源：【打印】公告概要：公告信息：采购项目名称文山州统计局桌面云一体机服务器等设备采购项目品目货物/通用设备/计算机设备及软件/计算机设备/服务器采购单位文山州统计局行政区域文山壮族苗族自治州公告时间2018年01月03日10:08本项目招标公告日期2017年12月25日成交日期2018年01月03日谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单普晋，杨俊，张培苏；总成交金额￥49.85万元（人民币）联系人及联系方式：项目联系人祁薰项目联系电话0876-2836532采购单位文山州统计局采购单位地址文山市采购单位联系方式0876-2836532代理机构名称文山州政府采购和出让中心代理机构地址文山市华龙北路2号代理机构联系方式0876-2661091文山州统计局桌面云一体机服务器等设备采购项目询价采购成交公告由文山州政府采购和出让中心发布的WSZZFCG2018（询）-001文山州统计局桌面云一体机服务器等设备采购项目，根据评审结果并经采购人确认，现将评标结果公示如下：A1标段：成交人名称文山鑫兴工贸有限公司成交人地址文山市卧龙街道七花社区田心寨村21号成交标的名称桌面云一体机服务器等设备交货时间签订合同后7个工作日内成交总价49.85万元采购预算49.9万元  询价小组成员：普晋，杨俊，张培苏；公告期限1个工作日。本公告发出之日起，成交供应商即可到文山州政府采购和出让中心506室领取成交通知书。在此，谨对积极参与本项目投标的单位表示衷心感谢。 采购人：文山州统计局         联系电话：0876-2836532集中采购机构：文山州政府采购和出让中心    联系电话及传真：0876-2661091地址：文山州委州政府新办公区政务服务中心大楼5楼506室  文山州政府采购和出让中心二O一八年一月三日
