城市,年份,文本内容,economic_growth_goal
上海市,2016,"         
	上海市市长杨雄
	　　深化自贸试验区制度创新。在新扩展区域全面推行外商投资负面清单管理模式，企业准入“单一窗口”从注册环节向变更环节延伸，自贸试验区新登记注册企业1.8万家。推出“一站式”申报查验作业、“空检海放”等50项贸易监管新措施，拓展国际贸易“单一窗口”功能，扩大货物状态分类监管试点，贸易便利化程度进一步提高。推动制定自贸试验区新一轮金融开放创新试点方案，启动自由贸易账户外币服务功能，累计开立自由贸易账户4.4万个。深入开展以政府职能转变为核心的事中事后监管创新，启动建设市场主体信用信息公示系统。制定实施自贸试验区改革经验全市推广方案，一大批改革成果呈现溢出放大效应。

	　　加快推进经济体制改革。深化国资国企改革，制定实施混合所有制改制、境外国资监管、国有企业领导人薪酬制度等一批配套细则，实质性启动国有资本流动平台运作，完成一批国有企业集团整体上市或核心资产上市，国有企业集团法定代表人任期制、契约化管理基本实现全覆盖。落实小微企业税收减免政策，着力缓解中小微企业融资压力。全面实行“三证合一、一照一码”商事登记制度，试行集中登记和一址多照登记方式，全市新登记注册企业25.4万家，新增注册资本比上年增长67.6%。

	　　扩大对内对外开放。制定参与“一带一路”建设推进方案，推动成立“一带一路”企业联盟。实行“告知承诺+格式审批”的外商投资审批管理模式，实施一批外商投资促进新措施，跨国公司地区总部累计达到535家，比五年前增加230家。支持企业“走出去”，对外直接投资比上年增长2.8倍。制定参与长江经济带建设的实施意见，积极推动长三角一体化发展，加强对口支援工作。

	　　（三）着眼于提升城市核心竞争力，全面推进科技创新中心建设，加快建设“四个中心”

	　　加快实施创新驱动发展战略。全社会研发经费支出相当于全市生产总值的比例达到3.7%。在脑科学和人工智能等领域布局一批重大科技项目，建成国家蛋白质中心等一批科技基础设施。加快集聚国内外研发机构，新增外资研发中心15家。国家技术转移东部中心落户。

	　　下转◆2版

	　　（上接第1版）大力推进大众创业、万众创新，创新创业服务机构达到454家。设立股权托管交易中心科技创新板，成立创新创业投资母基金。开展知识产权运营服务试点，每万人口发明专利拥有量达到29件。

	　　着力提升“四个中心”功能。金砖国家新开发银行开业，中国互联网金融行业协会落户。推动人民币跨境支付系统一期建成运行，推出上证50ETF期权、中证500股指期货等一批金融创新产品，中国保险投资基金在沪设立，金融市场交易额达到1463万亿元，是五年前的3.5倍。实行航运保险注册制，扩大外贸集装箱沿海捎带、启运港退税政策覆盖面，集装箱水水中转比例达到45%，比五年前提高7个百分点。引进亚太示范电子口岸网络运营中心，开展内贸流通体制改革发展综合试点，建成国家会展中心，商品销售总额达到9.3万亿元。

	　　（四）突出保障基本民生，推动公共服务资源配置向基层、郊区农村和困难群体倾斜，持续增进民生福祉

	　　加大群众基本生活保障力度。落实鼓励创业带动就业扶持政策，帮助1.1万人创业。统一城乡最低生活保障制度，提高低保标准，惠及20多万城乡居民，实现新农合市级统筹，企业退休人员基本养老金水平继续提高10%以上。增加养老服务供给，养老床位达到12.6万张，养老机构设置的医疗机构增加到189家。启动17个城市更新试点项目。拆除中心城区二级旧里以下房屋65.9万平方米，过去五年累计拆除320万平方米。新建筹措各类保障性住房和实施旧住房综合改造19.7万套，过去五年累计完成87.8万套。

	　　加大文化和社会事业惠民力度。推动公共文化配送与需求有效对接，服务城乡居民1234万人次。统一义务教育公办学校资源配置标准，在郊区新开办中小学和幼儿园67所。实施新的高中学业水平考试、高中学生综合素质评价制度，制定高等教育布局结构规划、现代职业教育体系规划，启动高校“高峰”、“高原”学科建设，教育综合改革试点稳步推进。在公立医院实施医药分开，启动新一轮社区卫生服务综合改革，探索分级诊疗制度，医药卫生体制改革向纵深推进。开展改善医疗服务行动，在公立医院公益性评价、医疗服务价格调整、质量保障、信息公开等方面探索建立一系列新机制、新制度，医疗卫生服务水平进一步提高。市民体育大联赛参赛人次达到238万，成功举办国际滑联世界花样滑冰锦标赛、劳伦斯世界体育颁奖典礼，上海体育健儿在第三届全国智力运动会、首届全国青年运动会上取得优异成绩。进一步落实军民融合深度发展意见，国防动员和双拥共建全面加强。

	　　（五）紧紧扭住突出问题和短板不放松，狠抓城市安全和基层建设，加强社会治理、城乡统筹发展和环境综合治理

	　　全力保障城市安全。坚持最严标准、最严要求、最严措施，全面开展安全隐患大排查大整治。制定实施公共场所人群聚集安全管理办法，完善轨道交通大客流应急预案。基本完成工业园区外危险化学品生产企业、港区危险化学品仓库的布局调整，建成危险化学品运输企业和车辆监管系统。建立食品安全信息追溯管理制度。完成1633台住宅小区老旧电梯的安全评估。加强火灾防控体系建设，完成100个住宅小区老旧消防设施改造，为500幢高层售后公房增配消防设施。

	　　加强社会治理和城市管理。完成街道机构调整，取消街道招商引资职能，初步建立社区工作者职业化体系，基层服务管理职能得到增强。顺利完成居委会、村委会换届选举。探索社会力量参与信访实地督查。开展社会治安复杂地区专项整治行动。实施城市管理综合执法改革，推动执法力量下沉，在所有街镇设立网格化综合管理中心，实现区县网格化管理平台与“12345”市民服务热线机构整合。狠抓城市管理顽症整治不放松，违法建筑、“群租”、非法客运、无序设摊的整治取得明显成效。启动实施住宅小区综合治理三年行动计划，完成2666万平方米居民住宅二次供水设施、122.6万户老旧住宅小区供电设施改造。

	　　推进郊区农村改革发展。实施城乡发展一体化意见及配套政策。建立镇村河道整治补贴机制，完成156公里中小河道整治、2445公里中小河道疏浚。全面实现郊区县集中供水。完成100个村庄改造、1032户农村危旧房改造。整建制创建国家现代农业示范区，新增768个家庭农场。推进镇村两级集体经济组织产权制度改革。基本完成农村土地承包经营权确权登记颁证，启动集体经营性建设用地入市试点。一批农村综合帮扶“造血”项目落地见效。

	　　加强资源节约和环境保护。完成生态保护红线划示。实施经营性用地全生命周期管理，低效建设用地减量7平方公里。启动实施第六轮环保三年行动计划，环保投入相当于全市生产总值的比例保持在3%左右。全面完成中小锅炉、窑炉的清洁能源替代和黄标车淘汰，新增新能源汽车4.4万辆。出台水污染防治行动计划，完成建成区直排污染源截污纳管，城镇污水处理率达到91%。全面启动金山地区环境综合整治。积极探索重点区域环境综合治理新机制，第一批11个地块治理取得阶段性成果。新建绿地1190公顷，森林覆盖率达到15%，比五年前提高2.1个百分点。

	　　各位代表，过去一年，我们主动应对各种风险挑战，加快推进经济结构优化、发展动力转换、发展方式转变，取得的成绩来之不易。这是党中央、国务院和中共上海市委坚强领导的结果，是全市人民共同奋斗的结果。在这里，我代表上海市人民政府，向在各个岗位上付出智慧、心血和汗水的全市人民，向给予政府工作大力支持的人大代表和政协委员，向各民主党派、工商联、各人民团体和社会各界人士，表示最崇高的敬意！向中央各部门、兄弟省区市和驻沪部队、武警官兵，向关心支持上海发展的香港、澳门特别行政区同胞、台湾同胞、海外侨胞和国际友人，表示最诚挚的感谢！

	　　我们清醒地看到，上海正处在创新驱动发展、经济转型升级的攻坚阶段，经济下行压力仍然较大，制造业发展面临不少困难，创新引领发展的动力还不强，创新创业的体制机制、政策环境有待进一步完善。城乡发展不平衡、不协调仍很突出，农村生产生活方式亟待转变。人口资源环境约束更加凸显，严重制约经济可持续发展，也增加了城市管理、社会治理的难度。外部环境深刻变化，开放型经济水平有待进一步提升。养老、医疗、教育、交通、环境保护、城市安全等方面仍有许多群众不满意的地方，还存在不少短板。我们要直面问题，切实增强忧患意识、责任意识，努力在破除瓶颈、补齐短板上取得明显进展。

	　　二、关于《上海市国民经济和社会发展第十三个五年规划纲要（草案）》的说明

	　　根据《中共上海市委关于制定上海市国民经济和社会发展第十三个五年规划的建议》，市政府制定了《上海市国民经济和社会发展第十三个五年规划纲要（草案）》，提请本次大会审议。

	　　（一）“十三五”时期经济社会发展总体考虑

	　　“十三五”时期是我国全面建成小康社会决胜阶段，是上海基本建成“四个中心”和社会主义现代化国际大都市决定性时期。我们要准确把握战略机遇期内涵的深刻变化，主动适应经济发展新常态，有效应对各种风险挑战，不断开拓发展新境界。

	　　“十三五”时期上海经济社会发展指导思想是：高举中国特色社会主义伟大旗帜，全面贯彻党的十八大和十八届三中、四中、五中全会精神，以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观为指导，深入贯彻习近平总书记系列重要讲话精神，坚持“四个全面”战略布局，树立创新、协调、绿色、开放、共享的发展理念，按照当好全国改革开放排头兵、创新发展先行者的要求，抓牢发展第一要务，更加注重提高发展质量和效益，着力加强供给侧结构性改革，持续推进创新驱动发展、经济转型升级，加快向具有全球影响力的科技创新中心进军，统筹推进经济建设、政治建设、文化建设、社会建设、生态文明建设和党的建设，确保如期基本建成“四个中心”和社会主义现代化国际大都市，为我国全面建成小康社会、实现第二个百年奋斗目标和中华民族伟大复兴的中国梦作出更大的贡献。

	　　“十三五”时期上海经济社会发展目标是：到2020年，形成具有全球影响力的科技创新中心基本框架，走出创新驱动发展新路，为推进科技创新、实施创新驱动发展战略走在全国前头、走到世界前列奠定基础。适应社会主义市场经济发展，建立健全更加成熟、更加定型的国际化、市场化、法治化制度规范，基本建成国际经济、金融、贸易、航运中心和社会主义现代化国际大都市，在更高水平上全面建成小康社会，让全市人民生活更美好。一是创新驱动整体提速，发展的质量和效益持续提高，全市生产总值预期年均增长6.5%以上，全社会研发经费支出相当于全市生产总值的比例保持在3.5%以上。二是人民生活水平和质量普遍提高，力争居民人均可支配收入比2010年翻一番。三是文化软实力显著增强，基本建成更加开放包容的国际文化大都市。四是生态环境持续改善，PM2.5年平均浓度下降到42微克/立方米左右，力争基本消除劣Ⅴ类水体。五是依法治理能力全面提升，基本建成法治政府，法治政府建设走在全国前列。

	　　（二）“十三五”时期经济社会发展主要任务

	　　《纲要（草案）》围绕实现“十三五”发展目标，贯彻落实五大发展理念，尊重城市发展规律，提出了一系列发展思路和举措。

	　　第一，推进创新发展，激发发展新动力。把创新摆在全市发展大局的核心位置，推动以科技创新为核心的全面创新，使创新成为引领发展的第一动力。建设综合性、开放型科技创新中心是推进创新驱动发展、经济转型升级的根本举措，要牢牢把握科技进步大方向、产业革命大趋势、人才集聚大举措，深入实施创新驱动发展战略，提高自主创新能力，创新科技体制机制，大力发展创新经济，加快向国际重大科学发展、原创技术和高新技术产业的重要策源地迈进。致力于增强城市综合服务功能，完善市场体系，集聚功能性机构，不断提升“四个中心”的国际影响力和全球资源配置能力。坚持高端化、智能化、绿色化、服务化，推动产业融合发展的方针，建立完善以现代服务业为主、战略性新兴产业引领、先进制造业支撑的新型产业体系，不断提高服务经济特别是实体经济发展的质量和水平，战略性新兴产业增加值占全市生产总值比重达到20%左右，制造业增加值占全市生产总值比重力争保持在25%左右。适应产业跨界融合趋势，以更大的力度推动新技术、新模式、新业态、新产业“四新”经济发展，加快培育经济发展新动能。以政府自身改革为核心，强力推进重点领域和关键环节改革攻坚，加快形成有利于创新发展的制度环境。

	　　第二，推进协调发展，增强整体协同性。强化底线约束，注重补齐短板，形成更加均衡的发展结构。坚持综合施策，严格控制人口规模，常住人口总量控制在2500万以内。更加重视控制总量、盘活存量，强化土地节约集约利用，推进低效建设用地减量化，建设用地总量控制在3185平方公里以内。坚持以人为本、集约发展、产城融合、传承文脉，统筹推进主城区、新城、新市镇建设，加快形成多中心、高质量、强功能、重协同、有特色的城镇发展格局。着眼于全面缩小城乡发展差距，持续推动“三倾斜、一深化”，加快转变农村生产生活方式，实现城乡基本公共服务均等化，实现高水平城乡发展一体化。按照管为本、重体系、补短板的思路，全面构建安全、畅达、高效、绿色、文明的一体化综合交通体系，轨道交通运营线路总长达到800公里。按照核心是人、重心在城乡社区、关键是体制创新的要求，始终把安全作为一切工作的底线，加强系统治理、依法治理、综合治理、源头治理，努力走出一条符合超大城市特点的社会治理和城市管理新路。坚持把社会效益放在首位、社会效益与经济效益相统一，深化文化体制改革，发展文化事业和文化产业，公共文化服务体系基本形成，文化产业成为重要支柱产业。

	　　第三，推进绿色发展，共建生态宜居家园。深入贯彻节约资源和保护环境的基本国策，推动形成绿色空间布局、绿色生产方式、绿色生活方式，建设美丽上海。注重源头控制、末端治理、提高标准、依法严管相结合，强化重点领域大气污染和水污染防治，滚动推进重点区域环境综合治理，加快建设多层次、网络化、功能复合的绿色生态空间，不断提高环境质量。突出控制总量、优化结构、提高效率，加快转变能源生产消费方式，年能源消费总量控制在1.25亿吨标准煤以内。坚持减量化、再利用、资源化，大力发展循环经济，努力实现各类资源的合理高效利用。

	　　第四，推进开放发展，形成开放型经济新优势。坚持以开放促改革、促发展，推动对内对外开放相促进、“引进来”和“走出去”相结合，发展更高层次的开放型经济。着眼于建设开放度最高的自贸试验区，以制度创新为核心，以可复制、可推广为基本要求，与国际高标准投资贸易规则相衔接，建立健全投资贸易便利化、金融开放创新、事中事后监管等方面的制度规范，加快构筑国际化、市场化、法治化营商环境，进一步发挥自贸试验区扩大开放破冰船、深化改革掘进机的示范引领作用。适应经济全球化新趋势，积极参与和主动服务“一带一路”、长江经济带建设，全方位拓展双向开放的广度和深度，更好地利用国际国内两个市场、两种资源。

	　　第五，推进共享发展，增进市民福祉。坚持民生优先，注重机会公平，保障基本民生，完善就业服务体系、社会保障体系、养老服务体系、住房保障体系和社会事业体系，使全体市民在共建共享发展中有更多获得感。注重解决就业结构性问题，实施更加积极的就业政策，推动实现更高质量的就业。坚持居民收入增长与经济增长同步、劳动报酬提高与劳动生产率提高同步，多渠道增加城乡居民收入。建立更加公平、更可持续的社会保障制度，有序提高社会保障水平。积极应对人口深度老龄化，以居家为基础、社区为依托、机构为支撑、医养相结合，加快建设服务供给、需求评估、服务保障、政策支撑、行业监管“五位一体”的社会养老服务体系，实现基本养老服务应保尽保。完善廉租住房、共有产权保障房、公共租赁住房、征收安置房“四位一体”的住房保障体系，完成中心城区240万平方米成片二级旧里以下房屋改造。更加重视保障公平、提升质量，促进基础教育优质均衡发展，推动高等教育特色优质发展，加强职业教育融合发展，率先实现教育现代化。坚持为人民健康服务的方向，深化医药卫生体制改革，实现人人享有基本医疗卫生服务。

	　　“十三五”规划凝聚着社会各方的智慧，承载着全市人民的期盼。我们要俯身耕耘、顽强拼搏，不断提升城市核心竞争力，不断提高人民生活水平，携手开创更加美好的未来。

	　　三、全力以赴做好“十三五”开局工作

	　　2016年是实施“十三五”规划的第一年。我们要按照中央经济工作会议、中央城市工作会议精神和十届市委十次全会部署，围绕树立和贯彻创新、协调、绿色、开放、共享的发展理念，适应经济发展新常态，坚持改革开放，坚持稳中求进工作总基调，坚持稳增长、调结构、惠民生、防风险，推进供给侧结构性改革，推进创新驱动发展、经济转型升级，促进经济社会持续健康发展，为完成“十三五”发展目标任务打下扎实基础。

	　　[综合各方面因素，建议今年全市经济社会发展主要预期目标是：经济发展质量效益进一步提高，全市生产总值增长6.5%-7%，一般公共预算收入增长7%。全社会研发经费支出相当于全市生产总值的比例保持在3.5%以上。城镇登记失业率控制在4.4%以内，居民人均可支配收入增幅与经济增长保持同步，居民消费价格指数与国家价格调控目标保持衔接。环保投入相当于全市生产总值的比例保持在3%左右，单位生产总值能耗、主要污染物排放量进一步降低。]

	　　今年要着力做好以下八方面工作：

	　　（一）深入推进以自贸试验区建设为重点的改革开放。聚焦重点领域和关键环节，建立健全制度构架和体制机制，力争改革开放新突破。

	　　加快自贸试验区建设。深化投资管理制度创新，完善准入前国民待遇加负面清单管理模式，扩大企业准入“单一窗口”受理事项范围。深化贸易监管制度创新，将更多管理部门纳入国际贸易“单一窗口”管理平台，进一步扩大货物状态分类监管试点，探索内外贸税收征管一体化。推进自贸试验区金融开放创新与国际金融中心建设联动，推动人民币资本项目可兑换先行先试，拓展自由贸易账户功能，适时启动合格境内个人投资者境外投资试点。完善事中事后监管，加快形成以综合监管为基础、专业监管为支撑的事中事后监管制度构架。对标国际通行规则，在投资者权益保护、知识产权保护等领域加大制度创新力度。

	　　促进各类所有制经济共同发展。推动一批国有企业开放性、市场化重组，推进一批国有企业集团整体上市或核心资产上市，基本完成符合条件的国有企业集团公司制改革，探索建立市场化选聘和管理经理人的制度，推动国有资本向战略性新兴产业、现代服务业、先进制造业、基础设施、民生保障等领域集中。完善非公有制经济发展环境，鼓励民营企业依法进入更多领域，引入非国有资本参与国有企业改革，支持民营企业发展核心技术和自主品牌，更好地激发非公有制经济的活力和创造力。深化商事登记制度改革，取消行业分类、经营范围等方面的不合理限制。

	　　推进开放型经济发展。加强与“一带一路”沿线地区的经贸合作，推动实施一批国际产能和装备制造合作项目，鼓励跨国公司地区总部拓展功能，进一步落实外贸稳增长、服务贸易发展、跨境电商发展政策措施。启动洋山保税港区扩区，推动一批出口加工区向综合保税区转型。积极参与长江经济带绿色生态廊道、综合立体交通走廊和现代产业走廊建设，推动长三角地区在生态环境、基础设施、科技创新、旅游发展等领域深化合作，积极帮助对口支援地区实施精准扶贫、精准脱贫。

	　　（二）加快建设具有全球影响力的科技创新中心。注重发挥“三区联动”优势，狠抓政策措施落实落地，进一步激发全社会创新活力。

	　　着力提高科技创新能力。建设张江综合性国家科学中心，力争海底长期观测网、超强超短激光、活细胞成像平台等大科学设施和光子科技国家实验室落户，在民用航空发动机与燃气轮机等领域承担更多国家重大专项任务。构筑功能性、开放式创新平台，在信息技术、生命科学、高端装备等领域建设一批共性技术研发转化平台。推动科技创新集聚区特色发展，布局一批科技成果产业化项目。进一步推动大众创业、万众创新，引导更多社会力量参与众创空间建设。

	　　建设全面创新改革试验区。创新政府科技管理，建立财政科技投入新机制，开展药品审评审批制度改革试点。支持企业创新，建立以创新为导向的国有企业考评机制，鼓励跨国公司研发中心升级为全球研发中心和开放式创新平台。加大金融支持创新力度，推动上海证券交易所设立战略新兴板，探索银行、保险等领域新型投融资模式。完善科技成果转移转化机制，继续向市属高校和科研院所下放科技成果使用权、处置权、收益权，探索建立国有技术类无形资产交易制度。加强知识产权保护和运用，建立知识产权侵权查处快速反应机制，组建知识产权交易中心，建设统一的专利、商标、版权信息和服务平台。

	　　推动智慧城市建设。建成宽带城市和无线城市，光纤宽带网络基本覆盖全市域，公共场所无线接入点达到20万处。推动信息技术在各领域的深度应用，落实“互联网+”推进方案，支持物联网、新硬件、大数据、云计算等新技术开发利用，加快建设智慧学习、智慧停车、智慧旅游等一批便民惠民的信息化应用平台。强化关键信息基础设施保护，切实保障网络安全。

	　　加强各类人才队伍建设。落实国家和本市各类人才计划，建立更加透明高效的人才资助机制，集聚更多的领军人才、高技能人才和高水平创新创业团队。完善人才分类评价体系，开展行业组织参与职称评价试点，探索委托社会机构遴选杰出人才。推动形成更加灵活的用人机制，促进人才资源市场化配置，为各类人才发展事业、成就梦想创造更多的机会和更好的环境。

	　　（三）全力推动“四个中心”建设、经济稳定增长和产业结构调整。准确把握结构性改革方向，抓好去产能、去库存、去杠杆、降成本、补短板，在适度扩大总需求的同时，提高供给体系质量和效率。

	　　深入推进“四个中心”建设。积极配合国家金融管理部门，支持人民币跨境支付系统二期建设，推动保险交易所开业运营，集聚全国性信托登记、票据交易和全球清算对手方协会等一批总部型、功能性金融机构，探索建立金融功能监管协调机制，切实防范金融风险。加快完善现代航运服务体系，优化集装箱国际中转集拼监管模式，继续引进功能性航运机构，发展航运金融等高端航运服务业。建设一批进出口商品展示交易平台，支持大宗商品市场线上线下融合发展，全面推进内贸流通体制改革发展综合试点，逐步将离境退税政策覆盖到符合条件的所有离境口岸。积极发挥新消费引领作用，继续培育服务消费、信息消费、绿色消费、时尚消费、品质消费等新兴消费热点。发展社区商业，新建改建100家标准化菜市场。

	　　推动新兴产业加快发展和传统产业改造升级。继续梳理解决一批“四新”经济发展瓶颈问题，制定实施软件首版次、新材料首批次应用支持政策。落实“中国制造2025”，支持新型显示、工业机器人等领域智能制造发展，推进战略性新兴产业区域集聚发展试点，设立集成电路产业基金。支持企业加快技术改造和设备更新，进一步推动传统产业广泛运用新技术、新模式。启动国家临空经济示范区建设，依托浦东国际机场、航空产业基地规划建设高水平航空城。继续推动桃浦、南大、吴淞、高桥等区域转型发展。淘汰落后产能1000项左右。

	　　开展降低实体经济企业成本行动。落实“营改增”试点扩围等税收政策，减免涉及小微企业的行政事业性收费，继续清理进出口环节不合理收费，减轻企业税费负担。按照国家统一部署，调整职工社会保险缴费率。扩大政府天使投资引导基金规模，鼓励更多社会资本发起设立投资基金，成立中小微企业政策性融资担保基金，帮助企业降低融资成本。

	　　推进重大工程和重点区域建设。加快建设5号线南延伸段、14号线、17号线等216公里轨道交通线，推进洋山深水港区四期、浦东国际机场三期、沪通铁路上海段、北横通道等交通设施建设，建成长江西路隧道。开工建设15公里地下综合管廊，建立统一的地下管线管理信息平台。迪士尼乐园开园营运，世博央企总部集聚区全面建成，虹桥商务区核心区基本建成，临港国际智能制造中心启动建设，黄浦江滨江公共空间贯通10公里。

	　　（四）织密织牢民生保障网。坚持尽力而为、量力而行，继续坚守底线、突出重点、完善制度、引导预期，集中力量办成一批群众关切的民生实事。

	　　促进创业带动就业。帮助1万人成功创业，新增50万个就业岗位。实施大学生创业能力培养计划，推动高校新建一批创新创业教育实践平台，加大贷款担保贴息、社会保险费补贴等政策支持力度，鼓励更多青年投身创业。深入开展职工职业培训，支持企业探索实施新型学徒制。

	　　增强社会保障和养老服务能力。提高养老金水平，统一城乡居民基本医保制度，完善来沪从业人员参加职工社会保险办法。建立困难残疾人生活补贴和重度残疾人护理补贴制度。促进慈善事业健康发展。全面开展老年照护统一需求评估。建设老年宜居社区，新建50家长者照护之家、80家老年人日间服务中心。新增7000张公办养老床位。推进医养结合，强化社区居家养老的医疗服务，新增50家养老机构设置的医疗机构，扩大高龄老人医疗护理计划试点范围，探索建立长期护理保险制度。

	　　健全住房保障体系。新增供应5万套各类保障性住房，启动建设一批大型居住社区外围配套项目，出台共有产权保障住房管理办法。拆除中心城区二级旧里以下房屋55万平方米，完成郊区城镇旧区改造4万平方米，实施旧住房改造300万平方米。促进房地产市场平稳健康发展。

	　　深化教育综合改革。建设大中小学一体化德育体系，普及中华优秀传统文化教育。扩大义务教育学区化、集团化办学规模，努力办好家门口的每一所学校。构建高校分类管理体系，制定实施一流大学和一流学科建设计划，开展高等职业教育创新发展行动。深化高考综合改革，合并一本、二本招生批次，扩大综合评价录取试点范围。

	　　建设健康上海。坚持公益性导向，完善公立医院考核评价机制，进一步降低药品加成率，降低药品收入占医疗收入的比重。推进分级诊疗试点，完善家庭医生签约服务机制，建立健全社区卫生服务中心与二、三级医院双向转诊的绿色通道。加强院前急救体系建设，新建11个医疗急救分站。构建覆盖全生命周期的健康管理服务体系，实施人群健康干预计划，开展市民健康促进行动。制定中医药健康服务发展规划。落实全面两孩政策，完善计划生育服务管理。加强妇女儿童权益保障。

	　　深化国防动员和双拥共建，推进军民融合深度发展。继续做好民族、宗教、外事、港澳、对台和侨务工作。

	　　（五）提高社会治理和城市管理精细化水平。坚持重心下沉、政社互动、共建共享，创新社会治理和城市管理体制机制，切实保障城市安全有序和社会和谐稳定。

	　　强化城市安全。突出重点场所、重点行业、重点领域，从严从细落实安全责任，深入开展安全隐患排查整改，严防重特大安全事故发生。健全轨道交通公共安全防范体系，启动建设危险化学品电子标签自动识别系统，完善食品安全社会共治机制。开展锅炉等重点设备专项监督检查，完成住宅小区老旧电梯安全评估、燃气管道占压整治，完成226万平方米危险房屋和严重损坏房屋处置，为100个老旧住宅小区增配或改造消防设施。加强应急预案管理和演练，强化街镇应急管理能力建设。

	　　创新社会治理。完善居住证制度，多措并举严控人口规模。开展居民评议监督街镇机关试点，持续推进居委会、村委会减负增能，引导社会组织参与社区服务和治理。支持工会、共青团、妇联更好地团结群众、服务群众。完善社会矛盾纠纷的多元化解机制，推行信访事项网上公开办理。加快建设社会治安立体防控体系，筑牢治安巡逻防控网、武装应急处突网、群防群治守护网，集中整治社会治安突出问题，严密防范、严厉打击暴力恐怖活动，建设平安上海。

	　　加强城市综合管理。系统开展城市管理标准体系建设，推动街镇网格化综合管理中心有效运转，城市管理综合执法力量下沉街镇全部到位。巩固和扩大城市管理顽症整治成效，实施建筑垃圾和工程渣土全过程管理。加快落实住宅小区综合治理三年行动计划，改造2000万平方米居民住宅二次供水设施、90万户老旧住宅小区供电设施。继续创建国家公交都市，开工建设延安路中运量公交工程，新开通20条“最后一公里”公交线路。提升路网服务效率，新增76条单行道，建成17条区区对接道路。

	　　（六）加快推进城乡发展一体化。坚持城市建设重心向郊区转移，协同推进新型城镇化和新农村建设，进一步提高郊区发展水平。

	　　推进高质量新型城镇化。完成新一轮城市总体规划编制。分类推进镇域发展，做实基本管理单元，实施一批非建制镇改造，完成历史文化名镇名村规划编制，在严格保护的前提下开展一批名镇名村改造利用。积极推进国家新型城镇化综合试点，启动建设国家产城融合示范区。

